Apple,APPLE,APPLES,,3.99,25,1,0
Banana,BANANA,BANANAS,,2.47,26,1,1
Blackberry,BLACKBERRY,BLACKBERRIES,BERRIES,8.79,30,1,0
Blueberry,BLUEBERRY,BLUEBERRIES,BERRIES,1.29,12,1,0
Cocunut,COCUNUT,COCUNUTS,,4.99,28,1,0
Cranberry,CRANBERRY,CRANBERRIES,BERRIES,2.49,12,1,1
Grapes,GRAPES,GRAPE,,4.78,11,1,1
Grapefruit,GRAPEFRUIT,GRAPEFRUITS,,3.99,29,1,0
Kiwi,KIWI,KIWI FRUIT,KIWIS,2.47,27,1,1
Lemon,LEMON,LEMONS,,8.79,25,1,1
Lime,LIME,LIMES,,1.29,30,1,0
Mango,MANGO,MANGOS,,4.99,28,1,1
Watermelon,WATERMELON,MELON,MELONS,2.49,27,1,0
Cantaloupe,CANTALOUPE,MELON,MELONS,4.78,28,1,0
Olive,OLIVE,OLIVES,,3.99,11,1,0
Clementine,CLEMENTINE,ORANGE,ORANGES,2.47,28,1,1
Mandrine,MANDRINE,ORANGE,ORANGES,8.79,28,1,0
Peach,PEACH,PEACHES,,1.29,26,1,1
Pear,PEAR,PEARS,,4.99,25,1,0
Plum,PLUM,PLUMS,,2.49,25,1,0
Pineapple,PINEAPPLE,PINEAPPLES,,4.78,30,1,0
Pumpkin,PUMPKIN,PUMPKINS,,3.99,24,1,1
Pomegranate,POMEGRANATE,POMEGRANATE,,2.47,12,1,1
Raspberry,RASPBERRY,RASPBERRIES,,8.79,12,1,0
Strawberry,STRAWBERRY,STRAWBERRIES,,1.29,11,1,1
Tomato,TOMATO,TOMATOES,,4.99,10,1,1
Beet,BEET,BEETS,,2.49,25,1,0
Brussels sprout,BRUSSELS SPROUT,BRUSSELS SPROUTS,,4.78,29,4,1
Cabbage,CABBAGE,CABBAGES,,3.99,9,2,0
Broccoli,BROCCOLI,,,2.47,10,4,0
Corn,CORN,,,8.79,10,1,0
Lettuce,LETTUCE,,,1.29,9,3,1
Carrots,CARROTS,,,4.99,11,3,0
Kale,KALE,,,2.49,9,4,1
Potatoes,POTATOES,POTATOE,,4.78,24,2,0
Avocado,AVOCADO,AVOCADOS,,3.99,10,4,0
Turkey,TURKEY,,,2.47,4,1,0
Ham,HAM,,,8.79,4,3,1
Roast Beef,ROAST BEEF,BEEF,RAOST,1.29,5,3,1
Pork,PORK,,,4.99,4,4,0
Steak,STEAK,,,2.49,5,2,1
Lean Pork,LEAN PORK,LEAN,LEAN MEET,4.78,5,,1
Lean Steak,LEAN STEAK,LEAN,LEAN MEET,3.99,5,1,0
Chicken,CHICKEN,,,2.47,4,3,1
Chicken Breasts,CHICKEN BREASTS,CHICKEN,,8.79,5,3,0
Chicken Thighs,CHICKEN THIGHS,CHICKEN,,1.29,4,4,0
Bison,BISON,,,4.99,5,2,0
Sirloin Steak,SIRLOIN STEAK,SIRLOIN,STEAK,2.49,4,4,1
Sirloin Burger,SIRLOIN BURGER,SIRLOIN,BURGERS,4.78,5,1,0
Salmon,SALMON,FISH,,3.99,6,3,1
Cod,COD,FISH,,2.47,7,3,0
Trout,TROUT,FISH,,8.79,8,4,0
Shrimp,SHRIMP,SEAFOOD,,1.29,7,2,0
Frozen Shrimp,FROZEN SHRIMP,,,4.99,7,4,1
Cold Cut Turkey,COLD CUT TURKEY,TURKEY,COLDCUT,2.49,5,1,1
Cold Cut Ham,COLD CUT HAM,HAM,COLDCUT,4.78,5,3,0
Cold Cut Chicken,COLD CUT CHICKEN,CHICKEN,COLDCUT,3.99,5,3,1
Cold Cut Roast Beef,COLD CUT ROAST BEEF,BEEF,COLDCUT,2.47,5,1,1
Canned Tuna,CANNED TUNA,TUNA,,8.79,4,2,0
Canned Salmon,CANNED SALMON,SALMON,,1.29,5,4,1
